,Document,Original Summary,Corrected Summary
85,"
Union Finance Minister Nirmala Sitharaman was in the U.S. to attend the International Monetary Fund (IMF) and World Bank Spring meetings 2022, G20 Finance ministers and central governors meeting, and the Financial Action Task Force meeting. PTI
 Washington: Finance Minister Nirmala Sitharaman on Tuesday assured investors that the government will address any possible pain points to encourage investments in the country. Addressing a roundtable on 'Investing in India's Digital Revolution' in San Francisco, the minister encouraged constant engagement with investors to understand and address their concerns. The Finance Minister said she was open to receive suggestions, understand pain points and offer necessary redressal wherever possible. ""FM Smt. @nsitharaman said that in order to promote a robust #StartUp ecosystem in India, @DPIITGoI has set up a very proactive #StartUp cell and encouraged those interested in Indian #StartUps to engage with @DPIITGoI."" a tweet from the Finance Ministry said. During the meeting, investors from Silicon Valley also expressed that India's potential in producing Unicorn companies is immense. ""FM said that India, in pursuit of #digitization, has announced introduction of #DigitalCurrency by 2023. She also elucidated that #FinancialInclusion #FI will not be the sole purpose of this as India is already marching ahead to greater #FI, achieved through #JAM trinity,"" another tweet said. Earlier in the day, the Finance Minister had an interaction with a group of students studying at Stanford University covering a variety of topics. She was accompanied by India's Ambassador to the US, Taranjit S Sandhu and Chief Economic Advisor V Ananth Nageswaran. Ms. Sitharaman also participated in a roundtable discussion with Women CXOs representing various fields including fintech, health, education, IT, among others. The meeting focussed on the ways through which they could continue to contribute to India's growth story. ""FM highlighted various Govt initiatives that are focussed on women-led development, such as schemes for #SHGs and #DirectBenefitTransfer that have especially benefited rural women, and others such as #MudraYojana that have empowered women entrepreneurs,"" a separate tweet said. Quoting examples of strong, empowered and inspiring women from ancient Indian scriptures, the minister said, today's women are also no less and have the potential to innovate and reach new heights in their journey through their own technological and digital stewardship. The Finance Minister had a meeting with Gen. James Mattis, former US Secretary of Defense, and currently Davies Family Distinguished Fellow, Hoover Institution, Stanford University and discussed matters of mutual interest between India and the US. She also had a meeting with Perumal Gandhi co-founder Perfect Day, a Silicon Valley-based synbio/biotech StartUp. It has developed technology to make milk proteins by leveraging microbial fermentation, rather than using animal source. ""Mr Perumal Gandhi discussed Perfect Day's growth plan with the FM and sought to #invest in India to accelerate Perfect Day's scale up journey and join in the #MakeInIndia campaign,"" another tweet said.","Union Finance Minister Nirmala Sitharaman was in the U.S. to attend the International Monetary Fund (IMF) and World Bank Spring meetings 2022, G20 Finance ministers and central governors meeting, and the Financial Action Task Force meeting . The minister encouraged constant engagement with investors to understand and address their concerns .","Union Finance Minister Nirmala Sitharaman on April 27 assured investors that the government will address any possible pain points to encourage investments in the country. She was in the U.S. to attend the International Monetary Fund (IMF) and World Bank Spring meetings 2022, G20 Finance ministers and central governors meeting, and the Financial Action Task Force meeting. The minister encouraged constant engagement with investors to understand and address their concerns. The Finance Minister had a meeting with Gen. James Mattis, former US Secretary of Defense and discussed matters of mutual interest between India and the US."
86,"Head coach Ricky Ponting believes Delhi Capitals just need a little bit of momentum to get their IPL campaign back on track, as they are ""too good a team for the results not to change"". With three wins and four losses in the first seven matches of the season, Delhi Capitals are currently seventh in the points table. Reflecting on the first half of the season, Ponting said, ""I've said it a few times this year where there are 36 or 37 overs of really good stuff, and we just let it slip for two or three overs. ""And, that's the difference in these games. We sort of gear ourselves to not overtrain in the first part of the season, try and build up along the way. But our performances have been win one, lose one, win one. So, we need to start getting that little bit of momentum."" Ponting warned his players against trying ""too hard"" in the second half of IPL. ""I know we're so close to turning it all around. We've all got to trust, we've got to believe, we've got to stay upbeat and positive. And if we are, things will definitely change for us. ""The harder we try from here, the harder it's going to get. We're just going to stay nice and relax and keep repeating things we've been doing. And then results will definitely come our way. We are too good a team for the results not to change,"" he said ahead of Thursday's game against Kolkata Knight Riders. The Australian re-joined the squad at training after completing his precautionary five-day room isolation after a family member had tested positive for COVID-19. ""I feel pretty relieved to be back outside again, actually after another five days locked in, and obviously missing the game,"" he said.  ""Things didn't go well in the game, we had a drama at the end. But, it's nice to be back outside again."" Sharing his experience of watching the team's previous match from quarantine, Ponting said, ""It was frustrating. I think I broke three or four remote controls and a few bottles of water might have got thrown into the walls and things like that (laughs).  ""When you're on the sidelines, being a coach and you can't control what's happening out in the middle, that's hard enough, but when you're not actually at the ground, it can get a little more frustrating.  ""There's no doubt we've had it tougher than the other teams so far,"" he said, on the COVID cases in the Delhi Capitals bio-bubble last week.  ""Hopefully, we throw that COVID stuff now and are on the other side. And it's probably a really good definitive cut-off point - the halfway time of the season. We can reassess and readjust and get on with, hopefully, dominating the second half of this tournament."" ","Delhi Capitals head coach Ricky Ponting says they need momentum to turn IPL season around . Ponting warns his players against trying ""too hard"" in the second half of IPL . Australian re-joins squad at training after completing precautionary five-day isolation after family member tested positive for COVID-19 .","Delhi Capitals head coach Ricky Ponting says they need a little bit of momentum to turn this IPL season around. With three wins and four losses in the first seven matches of the season, Delhi Capitals is currently seventh in the points table. Ponting has warned his players against trying ""too hard"" in the second half of IPL. ""We are too good a team for the results not to change,"" he said ahead of Thursday's game against Kolkata Knight Riders."
87," U.N. Secretary-General Antonio Guterres and Russian President Vladimir Putin met one-on-one Tuesday for the first time since Russia invaded Ukraine, and the United Nations said they agreed on arranging evacuations from a besieged steel plant in the battered city of Mariupol. U.N. spokesman Stephane Dujarric said the Russian leader and U.N. chief discussed ""proposals for humanitarian assistance and evacuation of civilians from conflict zones, namely in relation to the situation in Mariupol."" They also agreed in principle, he said, that the United Nations and the International Committee of the Red Cross should be involved in the evacuation of civilians from the Azovstal steel complex where Ukrainian defenders in the southeastern city are making a dogged stand. Discussions will be held with the U.N. humanitarian office and the Russian Defence Ministry on the evacuation, Mr. Dujarric said. During the meeting, which the U.N. said lasted nearly two hours, Mr. Putin and Mr. Guterres sat at opposite ends of a long white table in a room with gold curtains bordered in red. No one else was at the table. Mr. Guterres criticized Russia's military action in Ukraine as a flagrant violation of its neighbor's territorial integrity and urged Russia to allow the evacuation of civilians trapped at the steel mill. Mr. Putin responded by claiming that Russian troops have offered humanitarian corridors to civilians holed up at the plant. But, he said, the Ukrainian defenders of the plant were using civilians as shields and not allowing them to leave. The sprawling Azovstal site has been almost completely destroyed by Russian attacks, but it is the last pocket of organized Ukrainian resistance in Mariupol. An estimated 2,000 soldiers and 1,000 civilians are said to be holed up in fortified positions underneath the wrecked structures. In an interview with The Associated Press on Monday ahead of Mr. Guterres' visit, Ukrainian Foreign Minister Dmytro Kuleba noted the failure of other foreign officials who visited Moscow to achieve results, and he urged the U.N. chief to press Russia for an evacuation of Mariupol. ""This is really something that the U.N. is capable to do,"" Mr. Kuleba said. Mr. Guterres flew to Rzeszow, Poland, from Moscow late Tuesday and was met by Polish President Andrzej Duda. He is to go to Kyiv for meetings Thursday with Ukrainian President Volodymyr Zelenskyy and Mr. Kuleba, and his meeting with Mr. Putin is expected to top the agenda. Many analysts have low expectations for Mr. Guterres' diplomatic foray into the Ukraine war. But U.N. deputy spokesman Farhan Haq was unusually optimistic Monday ahead of the Moscow meetings, telling reporters Guterres ""thinks there is an opportunity now"" and ""will make the most"" of his time on the ground talking to the leaders and see what can be achieved. Since Russia invaded Ukraine on Feb. 24, Guterres has accused the Russians of violating the U.N. Charter, which calls for peaceful settlement of disputes. He also has repeatedly called for a cessation of hostilities, most recently appealing unsuccessfully last Tuesday for a four-day ""humanitarian pause"" leading up to the Orthodox Easter holiday on Sunday.  The U.N. crisis coordinator in Ukraine, Amin Awad, followed up Sunday by calling for an immediate halt to fighting in Mariupol to allow an estimated 100,000 trapped civilians to evacuate. Mr. Guterres said at a news conference after meeting with Russian Foreign Minister Sergey Lavrov earlier Tuesday that safe and effective humanitarian corridors are urgently needed to evacuate civilians and deliver aid. To deal with ""the crisis within a crisis in Mariupol,"" he proposed coordination between the U.N., Red Cross, and Ukrainian and Russian forces to enable the evacuation of civilians who want to leave ""both inside and outside the Azovstal plant and in the city, in any direction they choose, and to deliver the humanitarian aid required."" The U.N. chief also proposed establishing a Humanitarian Contact Group comprising Russia, Ukraine and the United Nations ""to look for opportunities for the opening of safe corridors, with local cessations of hostilities, and to guarantee that they are actually effective."" Mr. Dujarric made no mention of a broader evacuation of civilians from Mariupol or Guterres' Humanitarian Contact Group, but getting civilians out of the steel plant would be an important step. On Saturday, a Ukrainian military unit released a video reportedly taken two days earlier in which women and children holed up underground in the plant, some for as long as two months, said they longed to see the sun.",U.N. Secretary-General Antonio Guterres and Russian President Vladimir Putin meet for the first time since Russia invaded Ukraine . They agreed in principle that the Red Cross should be involved in evacuations of civilians from Mariupol . Putin says the Ukrainian defenders of the steel plant are using civilians as shields and not allowing them to leave .,"U.N. Secretary-General Antonio Guterres and Russian President Vladimir Putin agreed in principle for the U.N. and the Red Cross to be involved in the evacuation of civilians from the Azovstal steel complex, in Mariupol. The sprawling site has been almost completely destroyed by Russian attacks and is the last pocket of organized Ukrainian resistance in Mariupol. An estimated 2,000 soldiers and 1,000 civilians are said to be holed up in fortified positions underneath the wrecked structures. Meeting for the first time since Russia invaded Ukraine, Mr. Guterres criticized Russia's military action in Ukraine as a flagrant violation of its neighbor's territorial integrity."
88,"In yet another case of sale of a newborn baby, a one-month-old girl was reportedly sold away for ₹2 lakh in Nidadavole.  Women Development and Child Welfare Officials (WD&CW) and the police rescued the baby late on Wednesday night, and shifted the infant to the Sishu Gruha in Eluru. According to the Dharmajigudem police of Eluru district, a pregnant woman, who was reportedly mentally unsound was rescued on March 23. She was admitted in the Community Health Centre (CHC) and the doctor referred the woman for better health care for delivery. The Dharmajigudem police shifted her to Charla Susheelamma Old Age Home, located at Nidadavole, where the woman delivered a female baby the same day.  The home organisers admitted her in the local government hospital. Doctors discharged her after two days as the health condition of both the mother and the baby was good. However, the home management through a private clinic, allegedly sold away the baby to a childless couple for ₹2 lakh in Nidadavole.  On receiving information, the District Child Protection Unit (DCPU), along with Nidadavole police swung into action on Wednesday, rescued the baby and shifted her to Sishu Gruha at Eluru. Both the mother and infant are safe. The WD&CW officials are investigating the case further, the police said. This is the second such case reported in Eluru district in the last month. A newborn was sold away by an RMP in Chintalapudi a few days ago. Police registered a case and took up investigation on the child selling racket in the district. ",A one-month-old girl was reportedly sold away for ?2 lakh in Nidadavole . Both the mother and infant are safe . This is the second such case reported in Eluru district in the last month .,"A one-month-old girl was reportedly sold away for ?2 lakh in Nidadavole. Both the mother and infant are safe. According to the Dharmajigudem police a pregnant woman, reportedly mentally unsound was rescued and shifted to an old age home. Following the birth of her child, the home management through a private clinic, allegedly sold away the baby to a childless couple. This is the second such case reported in Eluru district in the last month."
89," Underlining that running a government is a collective responsibility, Prime Minister Narendra Modi on Wednesday suggested to his Council of Ministers that they should have comprehensive knowledge of governance issues going beyond their respective ministries, sources said. Mr. Modi suggested them to identify redundant laws in their ministries and move towards scrapping them, the sources said. He asked them to take steps to ensure the delivery of government schemes on the ground. In line with the government's reform agenda, several presentations including on rationalisation of autonomous bodies and decriminalisation of certain minor offences were made by senior bureaucrats in the Union Council of Ministers' meeting chaired by the Prime Minister.  In total, five presentations were made in the meeting which lasted for nearly four hours.  The topics of the presentation included 75 'Amrit Sarovars' in every district, implementation of 2022-23 budget announcements, rationalisation of autonomous bodies, decriminalisation of offences and capacity building commission, the sources said.  Mr. Modi specifically told the Ministers that the budget allocated to their ministries should be fully utilised, while ensuring the last-mile delivery of government schemes, the sources said.  He told the Ministers that they should have comprehensive knowledge about issues related to governance and policy, going beyond their respective ministries, they said.  In the meeting, the Prime Minister also suggested that the Ministers meet once in six weeks to discuss governance issues, the sources added.  The Amrit Sarovar initiative is a part of the government's water conservation measures. Under this programme, 75 water bodies will be developed and rejuvenated in each district to mark 'Azadi Ka Amrit Mahotsav', to celebrate the 75th year of the country's independence.  The government has been taking several measures to rationalise autonomous bodies along with decriminalising minor offences which are no more relevant. ","Prime Minister Narendra Modi suggested to his Council of Ministers that they should have comprehensive knowledge of governance issues going beyond their respective ministries, sources said . He asked them to take steps to ensure the delivery of government schemes on the ground . In total, five presentations were made in the meeting which lasted for nearly four hours .","Prime Minister Narendra Modi chaired the Union Council of Ministers' meeting and suggested his Council of Ministers to identify and scrap redundant laws in their ministries. He also told Ministers to have comprehensive knowledge about issues related to governance and policy, going beyond their respective ministries. Asking that the budget allocated to their ministries be fully utilised, Mr. Modi urged last-mile delivery of government schemes. Several presentations including on rationalisation of autonomous bodies and decriminalisation of certain minor offences were made during the meeting which lasted nearly four hours."
90,"The Finance Ministry said on Monday that no specific proposals have been finalised yet to restructure rates levied under the Goods and Services Tax (GST) regime.  ""No feedback from States has been sought on the GST rates for any specific items or specific proposals to restructure the rates,"" the ministry said in a statement, noting that a group of ministers set up by the GST Council to suggest rationalisation of tax rates was still deliberating the way forward. ""The views of the States were sought generally on the Terms of References (ToRs) of the GoM soon after it was set up in September, 2021. A report of the Group is yet to be submitted to the Council for consideration,"" it said. ",No specific proposals have been finalised yet to restructure rates levied under the Goods and Services Tax . A group of ministers set up by the GST Council to suggest rationalisation of tax rates is still deliberating the way forward .,"No specific proposals have been finalised yet to restructure rates levied under the Goods and Services Tax, the Finance Ministry said. A group of ministers set up by the GST Council to suggest rationalisation of tax rates is still deliberating the way forward. The views of the States were sought generally on the Terms of References (ToRs) of the GoM soon after it was set up in September, 2021."
91,"The friendship between Russia and China has ""no limits"", President of the European Commission Ursula von der Leyen said here on Monday.  Addressing the inaugural session at the annual Raisina Dialogue, which was attended by Prime Minister Narendra Modi and External Affairs Minister Dr S. Jaishankar, she condemned the Russian aggression in Ukraine but also supported the need to find a ""diplomatic solution"" to the crisis. Ms. von der Leyen highlighted the common links like democracy and the rule of law that bind European states and India. ""They have declared that the friendship between them has 'no limits'; that there are 'no forbidden areas of cooperation; this was in February this year. And then, the invasion of Ukraine followed. What can we expect from the 'new international relations' that both have called for?"" asked Ms von der Leyen, who described the current relation between Russia and China as an ""unrestrained pact"". The top diplomat of the European Commission recollected her recent visit to Ukraine where she witnessed the ravages of the ongoing conflict and expressed Europe's collective determination to ensure ""strategic failure"" of Russia in Ukraine.  She clarified that the strategy to impose sanctions on Russia is not a ""standalone solution"". ""They are embedded in a broader strategy that has diplomatic and security elements. And this is why we have designed the sanctions in a way to sustain them over a longer period of time. Because this gives us leverage to achieve a diplomatic solution that will bring lasting peace,"" she said. Indicating Russia's strong ties with China, Ms. von der Leyen argued that the violence in Ukraine is generating ripples in the Indo-Pacific region. ""China is a negotiating partner, an economic competitor and a systemic rival. We will continue to cooperate on tackling common challenges, and we will protect our essential interests and promote our values,"" said Ms. von der Leyen who earlier in the day met Prime Minister Narendra Modi and held a discussion with External Affairs Minister Dr S. Jaishankar. The visiting top official of the European Commission paid tributes to the democratic tradition of India and said that the ""world watches with admiration"" whenever India holds the general elections every five years. ""Democracy was born more than 2,000 years ago in Europe. But today, its largest home is India,"" Ms. von der Leyen said. The top representative of the European Commission said both India and the European Union share common interests in maintaining ""safe trading routes, in seamless supply chains, and in a free and open Indo-Pacific."" Ms. von der Leyen projected India and the European Union as part of the global group that supports rule of law and urged stronger partnership between the EU and the ASEAN countries. Earlier in the day, Mr Modi received Ms von der Leyen and exchanged ideas on the strategy to combat climate change and build closer partnership in areas like Green Hydrogen. The Ministry of External Affairs, in an official press statement, said the two leaders discussed the progress in the India-EU Strategic Partnership, including the forthcoming re-commencement of negotiations on a Free Trade Agreement and Investment Agreement. Both sides also agreed to start a high-level trade and Technology Commission that will increase coordination between the political leadership and other stakeholders. ""The EU has only one Trade and Technology Council (commission) and that is with the U.S. and I think, therefore, it is telling that it was so important for us to put up a second... with India,"" she said.","Ursula von der Leyen condemned the Russian aggression in Ukraine but also supported the need to find a ""diplomatic solution"" to the crisis . She said the violence in Ukraine is generating ripples in the Indo-Pacific region . Earlier in the day, she met Prime Minister Narendra Modi and held a discussion with External Affairs Minister Dr S. Jaishank","Speaking at the Raisina dialogue, European Commission President Ursula von der Leyen condemned the Russian aggression in Ukraine, saying that the friendship between Russia and China has ""no limits"". Ms. Von der Leyen recollected her recent visit to Ukraine and supported the need to find a ""diplomatic solution"" to the crisis. She said the violence in Ukraine is generating ripples in the Indo-Pacific region. Earlier in the day, she held separate discussions with Prime Minister Narendra Modi and External Affairs Minister Dr S. Jaishankar."
92,"Women's Tennis Association chief Steve Simon has warned Wimbledon organisers and Britain's tennis body of ""strong reactions"" to their decision to ban players from Russia and Belarus to compete in tournaments. The All England Club (AELTC), which organises the grasscourt major, and the Lawn Tennis Association (LTA) will not allow Russian and Belarusian players to compete in events in the United Kingdom due to Moscow's invasion of Ukraine. The move was slammed by the ATP, which runs the men's tour, and the WTA as ""discriminatory"", with the world governing bodies said they were evaluating sanctions in response. Simon told The Tennis Podcast that the Wimbledon decision was against Grand Slam rules and the agreement they have with the tournament while the LTA, which has WTA sanctioned events, violated the bylaws and rules regarding athlete entry. ""We don't have the same jurisdiction over the Grand Slams as we do (over) our own sanctioned events. We have precedents ... where these situations may have occurred where fines and tournament sanctions have been imposed,"" Simon said. ""I do think that you'll see some strong reactions that will come from us but what those are and how far they'll go is still to be determined."" Tennis governing bodies have banned Russia and Belarus from international team competitions following the invasion, but individual players from the two countries are allowed to compete on their respective tours as neutrals. Simon said both the ATP and the WTA are in discussions over the issue but the decisions will be independent. The AELTC, in its statement announcing the decision, said it had to play its part in the efforts of government, industry, sporting and creative institutions to ""limit Russia's global influence through the strongest means possible"". ""People take the position that sports and politics shouldn't match and shouldn't be intertwined, but that's not the reality,"" Simon said. ""At times sports does cross into politics and here is a situation where politics is crossing into sports. It is real life. ""The one thing that this sport has always agreed upon, we don't agree on a lot of things, but the one thing we have always been united on was that entry into our events ... has always been based up on merit and without discrimination."" ",Tennis chief Steve Simon warns Wimbledon organisers and Britain's tennis body of 'strong reactions' to decision to ban Russian and Belarusian players from tournaments in the UK due to Moscow's invasion of Ukraine . The All England Club and the Lawn Tennis Association will not allow Russian or Belarus players to compete in events in the United Kingdom . The move was slammed by the ATP,"Women's Tennis Association chief Steve Simon has warned Wimbledon organisers and Britain's tennis body of 'strong reactions' to their decision to ban Russian and Belarusian players from tournaments in the U.K. following Russian invasion of Ukraine. The All England Club's and the Lawn Tennis Association's move to not allow Russian or Belarus players to compete in events in the U.K. was slammed by the ATP and WTA as discriminatory. Tennis governing bodies have banned Russia and Belarus from international team competitions following the invasion, but individual players from the two countries are allowed to compete on their respective tours as neutrals."
93," The initial public offering (IPO) of the country's largest insurer LIC will open on May 4 and close on May 9, sources said.  The IPO, through which the government will sell 3.5% stake in the state-owned Life Insurance Corporation (LIC), will fetch ₹21,000 crore to the exchequer.  The IPO values LIC at ₹6 lakh crore.  The government had in February planned to sell 5% stake, or 31.6 crore shares, in the insurance behemoth and had filed draft papers with SEBI. However, the IPO plans faced headwinds from the ongoing market volatility due to the Russia-Ukraine war.  Last week, the government decided to lower the issue size to 3.5%. The government has also filed papers with SEBI seeking exemption from the 5% stake sale norm, sources said.  As the Securities and Exchange Board of India (SEBI) norms, companies with valuation over ₹ 1 lakh crore have to sell 5% stake in IPO.  LIC's embedded value, which is a measure of the consolidated shareholders value in an insurance company, was pegged at about ₹5.4 lakh crore as of September 30, 2021, by international actuarial firm Milliman Advisors.  Based on investor feedback, the market value of government-owned LIC has been pegged at 1.1 times its embedded value or ₹6 lakh crore.  LIC IPO would contribute a major chunk to the budgeted disinvestment proceeds in the current fiscal. The government has pegged disinvestment receipts at ₹65,000 crore in the current financial year, up from ₹13,531 crore mopped up last fiscal. ","The initial public offering (IPO) of the country's largest insurer LIC will open on May 4 and close on May 9 . The IPO, through which the government will sell 3.5% stake in the state-owned Life Insurance Corporation (LIC), will fetch ?21,000 crore to the exchequer . The government had in February","The IPO of the country's largest insurer LIC will open on May 4 and close on May 9. The IPO, through which the government will sell 3.5% stake in the state-owned Life Insurance Corporation (LIC), will fetch ?21,000 crore to the exchequer. Last week, the government decided to lower the issue size from 5% to 3.5%. Based on investor feedback, the market value of government-owned LIC has been pegged at 1.1 times its embedded value of ?5.4 lakh crore."
94,"Saying religious freedom conditions in India had ""significantly worsened"" in 2021, the United States Commission on International Religious Freedom (USCIRF), a bipartisan, independent body, recommended, for the third year in a row, that India be designated a 'Country of Particular Concern' (CPC), i.e., the category of governments performing most poorly on religious freedom criteria.  The State Department, which has its own Office of International Religious Freedom, is not bound by the Commission's recommendations and has not accepted the CPC recommendation for India for the two years. ""During the year, the Indian government escalated its promotion and enforcement of policies — including those promoting a Hindu-nationalist agenda — that negatively affect Muslims, Christians, Sikhs, Dalits, and other religious minorities,"" the report said. ""The government continued to systemize its ideological vision of a Hindu state at both the national and state levels through the use of both existing and new laws and structural changes hostile to the country's religious minorities."" The report section on India said that the government had ""repressed critical voices"", especially minority communities and individuals reporting on them. It mentions the arrest of rights activist Khuran Pervez in Kashmir, and the July 2021 death of octogenarian Father Stan Swamy, arrested in October 2020 under the Unlawful Activities Prevention Act (UAPA). The report touches on challenges faced by Non Governmental Organisations (NGOs), especially with regard to foreign funding. It also highlights anti-conversion laws. ""In October 2021, Karnataka's government ordered a survey of churches and priests in the state and authorized police to conduct a door-to-door inspection to find Hindus who have converted to Christianity,"" the report said. Other countries recommended for the CPC designation were: Afghanistan, Nigeria, Syria and Vietnam. USCIRF recommended that the State Department redesignate Myanmar, China, Eritrea, Iran, North Korea, Pakistan, Russia, Saudi Arabia, Tajikistan and Turkmenistan as CPCs. The government has, previously, pushed back against the USCIRF's grading, questioning its locus standi. In 2020, External Affairs Minister S Jaishankar called the Commission an ""Organisation of Particular Concern."" Mr Jaishankar, who was in Washington two weeks ago for the 2+2 U.S.-India defence and foreign ministry dialogue, said that the state of human rights in India had not been raised at the dialogue. At an April 11 joint press conference of officials from both countries, U.S. Secretary of State Antony Blinken had made the general point that the U.S. remains concerned about human right violations in India. ","The U.S. Commission on International Religious Freedom (USCIRF) recommended India be designated a 'Country of Particular Concern' for the third year in a row . The report section on India said that the government had ""repressed critical voices"", especially minority communities and individuals reporting on them . The government has, previously, pushed back against the USC","The U.S. Commission on International Religious Freedom (USCIRF) recommended India be designated a 'Country of Particular Concern' for the third year in a row. Stating that religious freedom conditions in India had ""significantly worsened"" in 2021, the report said that the government had ""repressed critical voices"", especially minority communities and individuals reporting on them. The report also touched on challenges faced by NGOs especially with regard to foreign funding and highlighted anti-conversion laws. The government has, previously, pushed back against the grading, questioning its locus standi. Other countries recommended for the CPC designation were: Afghanistan, Nigeria, Syria and Vietnam."
95," A group of 21 U.S.
lawmakers sent a letter to Facebook CEO Mark
Zuckerberg on Wednesday voicing concern about what they called
disinformation on the platform aimed at Spanish speakers about
Russia's invasion of Ukraine. (Sign up to our Technology newsletter, Today's Cache, for insights on emerging themes at the intersection of technology, business and policy. Click here to subscribe for free.) The disinformation is spread by Moscow-backed outlets like
RT en Espanol, among others, said the letter joined by Senators
Amy Klobuchar and Ben Ray Lujan and Representative Tony Cardenas
and 18 others. ""Facebook has continuously failed to show it is adequately
addressing this problem for Spanish-speaking communities, and
the success of Russian sponsored outlets in crowding out the
information ecosystem for Spanish speakers serves as proof to
this fact,"" the lawmakers wrote. ""The viral spread of these narratives stands in stark
contrast to assurances that Meta made to the public and Members
of Congress that it is prioritising the pressing needs of
Hispanic communities in the United States,"" the letter said. Facebook, now called Meta Platforms, said in a
statement that it was working to stop disinformation in Spanish. ""We're removing content related to the war in Ukraine that
violates our policies, and working with third-party fact
checkers to debunk false claims. When they rate something as
false, we move this content lower in feed so fewer people see
it,"" said spokesman Kevin McAlister, who said that the company
was also ""applying labels to state-controlled media publishers,
including ones cited in the letter."" The letter was signed by seven senators and 14
representatives, many of them from states like California and
New York with significant Spanish-speaking populations.","A group of 21 U.S. lawmakers sent a letter to Facebook CEO Mark Zuckerberg on Wednesday voicing concern about what they called ""disinformation"" The disinformation is spread by Moscow-backed outlets like RT en Espanol, among others . Facebook said it was working to stop disinformation in Spanish .","A group of 21 U.S. lawmakers sent a letter to Facebook CEO Mark Zuckerberg voicing concern about ""disinformation"" on the platform aimed at Spanish speakers about Russia's invasion of Ukraine. The disinformation is spread by Moscow-backed outlets like RT en Espanol, among others. Facebook said it was working to stop disinformation in Spanish and removing content related to the war in Ukraine that violates their policies."
96,"Nexo, a leading regulated institution for digital assets, is partnering with Mastercard to launch the world's first crypto-backed payment card that will allow users to spend without selling their digital assets. (Sign up to our Technology newsletter, Today's Cache, for insights on emerging themes at the intersection of technology, business and policy. Click here to subscribe for free.) Nexo's zero-cost credit will be available to eligible Nexo clients in Europe. The Card is linked to a Nexo-provided, crypto-backed credit line that allows cardholders to use their digital assets as collateral rather than selling them, Nexo said in a release. The credit line is dynamic and can use multiple assets as collateral, including Bitcoin, Ethereum, and Tether. The card will be accepted by 92 million merchants worldwide where Mastercard is accepted, allowing investors to spend up to 90% of the fiat value of their crypto without selling any of it. Users can also earn up to 2% crypto cash back with each transaction, according to the release. The Card also comes with direct Apple Pay and Google Pay integrations. Cardholders can add it to their preferred mobile wallet from the Nexo Wallet App. The company is planning to add a debit-type card functionality to it and expand the offering internationally beyond Europe later.","Nexo, a leading regulated institution for digital assets, is partnering with Mastercard to launch the world's first crypto-backed payment card . The zero-cost credit will be available to eligible Nexo clients in Europe . The card will be accepted by 92 million merchants worldwide where Mastercard is accepted .","Nexo, a leading regulated institution for digital assets, is partnering with Mastercard to launch the world's first crypto-backed payment card that will allow users to spend without selling their digital assets. The Card is linked to a Nexo-provided, crypto-backed credit line that allows cardholders to use their digital assets, including Bitcoin, Ethereum, and Tether, as collateral. The card will be accepted by 92 million merchants worldwide where Mastercard is accepted. The Card also comes with direct Apple Pay and Google Pay integrations and users can also earn up to 2% crypto cash back with each transaction."
97,"Manual scavengers within Bruhat Bengaluru Mahanagara Palike (BBMP) limits will soon get identity cards in accordance with the Central Government's initiative. Chief Commissioner Gaurav Gupta, on Thursday, issued identity cards to eight manual scavengers symbolically, stated a press release.     A 2013 survey had identified 201 manual scavengers who will benefit from this. Identity cards are already being distributed through the Joint Commissioners of the zones concerned. However, a resurvey in 2018-19 had identified a total of 1,424 manual scavengers. All necessary steps will be taken in the BBMP limits to ensure that they can avail of the benefits.  Those who get ID cards are eligible for all welfare programs, including student fee reimbursement, skill training, self-employment, and other welfare programs of the BBMP.",Chief Commissioner Gaurav Gupta issued identity cards to eight scavengers symbolically . A 2013 survey had identified 201 manual scavengers who will benefit from this . Identity cards are already being distributed through Joint Commissioners of the zones concerned .,"Manual scavengers within Bruhat Bengaluru Mahanagara Palike (BBMP) limits will soon get identity cards in accordance with the Central Government's initiative. A resurvey in 2018-19 had identified a total of 1,424 manual scavengers. Those who get ID cards are eligible for all welfare programs, including student fee reimbursement, skill training, self-employment, and other welfare programs of the BBMP. Chief Commissioner Gaurav Gupta, on Thursday, issued identity cards to eight manual scavengers symbolically."
